index,name,birth,club,joined_date,place_of_birth,number,height,weight,position
722,Mohamed El-Shenawy,1988-12-18,Egypt,2014-05-22,Egypt,Unknown,191,84,Goalkeeper
723,Sherif Ekramy,1983-07-10,Egypt,2006-08-01,Egypt,16,191,91,Goalkeeper
724,Abdallah El Said,1985-07-13,Egypt,2008-06-13,Egypt,Unknown,175,69,Midfielder
725,Amr Warda,1993-09-17,Egypt,2015-10-10,Egypt,22,176,70,Midfielder
726,Mohamed Elneny,1992-07-11,Egypt,2016-01-14,Egypt,25,179,72,Midfielder
727,Ramadan Sobhi,1997-01-23,Egypt,2015-06-13,Egypt,14,183,75,Midfielder
728,Sam Morsy,1991-09-10,Egypt,2016-08-29,Egypt,Unknown,175,70,Midfielder
729,Shikabala,1986-03-05,Egypt,2007-06-02,Egypt,18,183,81,Midfielder
730,Tarek Hamed,1988-10-24,Egypt,2013-03-06,Egypt,Unknown,170,63,Midfielder
731,Trezeguet,1994-10-01,Egypt,2019-07-24,Egypt,17,180,71,Midfielder
732,Abdoulaye Diedhiou,2000-07-12,Senegal,2022-07-11,Senegal,12,0,0,Defender
733,Amadou Ndiaye,2001-03-17,Senegal,2022-07-11,Senegal,11,0,0,Defender
734,Cheikhou Ndiaye,2002-01-25,Senegal,2022-07-11,Senegal,22,179,0,Defender
735,El Hadji Balde,1993-10-05,Senegal,2022-07-11,Senegal,2,0,0,Defender
736,Malickou Ndoye,1999-10-10,Senegal,2022-07-01,Senegal,3,0,0,Defender
737,Melo Ndiaye,1994-11-23,Senegal,2022-07-07,Senegal,15,0,0,Defender
738,Bouly Junior Sambou,1998-12-01,Senegal,2022-07-11,Senegal,10,183,0,Forward
739,Elhadj Mane,2001-06-08,Senegal,2022-07-11,Senegal,9,0,0,Forward
740,Jean Remi Bocande,1988-12-29,Senegal,2016-02-01,Senegal,18,0,0,Forward
741,Paul Valere Bassene,2001-01-02,Senegal,2022-07-11,Senegal,19,0,0,Forward
742,Alioune Badara Faty,1999-05-03,Senegal,2021-11-10,Senegal,1,0,0,Goalkeeper
743,Landing Badji,2003-09-21,Senegal,2022-07-11,Senegal,16,0,0,Goalkeeper
744,Pape Abdoulaye Dieng,1994-11-10,Senegal,2022-07-11,Senegal,23,0,0,Goalkeeper
745,Alassane Faye,2003-09-28,Senegal,2022-07-11,Senegal,4,0,0,Midfielder
746,Alassane Maodo Kante,2000-12-20,Senegal,2021-07-06,Senegal,8,0,0,Midfielder
747,El Hadji Latyr Ndiaye,1999-08-12,Senegal,2022-07-11,Senegal,5,0,0,Midfielder
748,Etane Tendeng,2001-01-01,Senegal,2021-07-06,Senegal,21,0,0,Midfielder
749,Jean Louis Barthelemy Diouf,1996-07-06,Senegal,2022-07-11,Senegal,7,0,0,Midfielder
750,Lamine Camara,2004-01-01,Senegal,2022-07-01,Senegal,13,0,0,Midfielder
751,Lamine Diadhiou,2003-02-19,Senegal,2022-07-11,Senegal,20,0,0,Midfielder
752,Moussa Ndiaye,2004-02-23,Senegal,2022-07-11,Senegal,14,0,0,Midfielder
753,Ngagne Fall,1999-08-07,Senegal,2022-07-11,Senegal,17,0,0,Midfielder
754,Ousmane Sow,2000-10-20,Senegal,2022-07-11,Senegal,6,0,0,Midfielder
755,Abdulelah Al Amri,1997-01-15,Saudi Arabia,2018-12-27,Saudi Arabia,Unknown,185,74,Defender
756,Ali Albulayhi,1989-11-21,Saudi Arabia,2018-04-23,Saudi Arabia,Unknown,181,81,Defender
757,Ali Lajami,1996-04-24,Saudi Arabia,2019-10-07,Saudi Arabia,Unknown,178,75,Defender
758,Hassan Al Tambakti,1999-02-09,Saudi Arabia,2018-11-09,Saudi Arabia,Unknown,185,74,Defender
759,Mohammed Al-Burayk,1992-09-15,Saudi Arabia,2016-08-23,Saudi Arabia,Unknown,173,62,Defender
760,Sultan Al-Ghannam,1994-05-06,Saudi Arabia,2017-12-15,Saudi Arabia,Unknown,174,64,Defender
761,Yasir Al Shahrani,1992-05-25,Saudi Arabia,2012-07-01,Saudi Arabia,Unknown,170,62,Defender
762,Ziyad Al Sahafi,1994-02-03,Saudi Arabia,2019-03-14,Saudi Arabia,Unknown,188,73,Defender
763,Abdullah Al Hamdan,1999-09-13,Saudi Arabia,2019-08-31,Saudi Arabia,Unknown,183,76,Forward
764,Abdulrahman Al Obud,1995-06-01,Saudi Arabia,2022-01-22,Saudi Arabia,Unknown,174,70,Forward
765,Abdulrahman Ghareeb,1997-03-31,Saudi Arabia,2018-10-05,Saudi Arabia,Unknown,165,60,Forward
766,Firas Al Brikan,2000-05-14,Saudi Arabia,2018-11-09,Saudi Arabia,Unknown,182,75,Forward
767,Fawaz Al-Qarni,1992-04-02,Saudi Arabia,2014-05-01,Saudi Arabia,Unknown,184,88,Goalkeeper
768,Mohammed Al Owais,1991-10-10,Saudi Arabia,2016-10-03,Saudi Arabia,Unknown,185,82,Goalkeeper
769,Mohammed Al Rubaie,1997-08-14,Saudi Arabia,2018-10-05,Saudi Arabia,Unknown,188,77,Goalkeeper
770,Abdulaziz Al Bishi,1994-03-11,Saudi Arabia,2018-10-05,Saudi Arabia,Unknown,173,73,Midfielder
771,Abdullah Ateef,1992-08-03,Saudi Arabia,2012-12-08,Saudi Arabia,Unknown,176,66,Midfielder
772,Ali Al Hassan,1997-03-04,Saudi Arabia,2021-05-26,Saudi Arabia,Unknown,182,68,Midfielder
773,Hattan Bahebri,1992-07-16,Saudi Arabia,2017-12-24,Saudi Arabia,Unknown,171,67,Midfielder
774,Khalid Al Ghannam,2000-11-07,Saudi Arabia,2022-01-22,Saudi Arabia,Unknown,171,64,Midfielder
775,Mohammed Kanno,1994-09-22,Saudi Arabia,2017-12-15,Saudi Arabia,Unknown,192,67,Midfielder
776,Nasser Al Dawsari,1998-12-19,Saudi Arabia,2021-03-16,Saudi Arabia,Unknown,180,64,Midfielder
777,Salem Al Dawsari,1991-08-19,Saudi Arabia,2012-02-28,Saudi Arabia,Unknown,171,72,Midfielder
778,Salman Al Faraj,1989-08-01,Saudi Arabia,2012-10-13,Saudi Arabia,Unknown,179,69,Midfielder
779,Sami Al Najei,1997-02-07,Saudi Arabia,2017-01-06,Saudi Arabia,Unknown,176,68,Midfielder
780,Daiki Sugioka,1998-09-08,Japan,2019-05-24,Japan,13,182,75,Defender
781,Hayato Araki,1996-08-07,Japan,2019-11-06,Japan,22,186,77,Defender
782,Miki Yamane,1993-12-22,Japan,2021-03-18,Japan,2,178,72,Defender
783,Ryuta Koike,1995-08-29,Japan,2022-07-13,Japan,25,170,67,Defender
784,Shinnosuke Hatanaka,1995-08-25,Japan,2019-03-14,Japan,5,184,83,Defender
785,Shinnosuke Nakatani,1996-03-24,Japan,2021-03-18,Japan,4,184,79,Defender
786,Sho Sasaki,1989-10-02,Japan,2018-08-30,Japan,19,177,70,Defender
787,Shogo Taniguchi,1991-07-15,Japan,2015-07-28,Japan,3,183,75,Defender
788,Takuma Ominami,1997-12-13,Japan,2022-07-13,Japan,24,184,76,Defender
789,Tomoki Iwata,1997-04-07,Japan,2019-05-24,Japan,6,178,77,Defender
790,Makoto Mitsuta,1999-07-20,Japan,2022-07-13,Japan,21,170,60,Forward
791,Mao Hosoya,2001-09-07,Japan,2022-07-13,Japan,20,177,69,Forward
792,Ryo Miyaichi,1992-12-14,Japan,2012-10-08,Japan,17,183,78,Forward
793,Shuto Machino,1999-09-30,Japan,2022-07-13,Japan,11,185,77,Forward
794,Takuma Nishimura,1996-10-22,Japan,2022-07-13,Japan,9,178,76,Forward
795,Yuki Soma,1997-02-25,Japan,2019-12-04,Japan,16,165,68,Forward
796,Yuto Iwasaki,1998-06-11,Japan,2022-07-17,Japan,10,173,72,Forward
797,Keisuke Osako,1999-07-28,Japan,2019-05-24,Japan,1,186,86,Goalkeeper
798,Kosei Tani,2000-11-22,Japan,2021-08-26,Japan,12,190,87,Goalkeeper
799,Zion Suzuki,2002-08-21,Japan,2022-07-13,Japan,23,190,93,Goalkeeper
800,Gakuto Notsuda,1994-06-06,Japan,2022-07-13,Japan,7,177,72,Midfielder
801,Joel Fujita,2002-02-16,Japan,2022-07-13,Japan,26,174,74,Midfielder
802,Kento Hashimoto,1993-08-16,Japan,2019-03-19,Japan,15,182,70,Midfielder
803,Kota Mizunuma,1990-02-22,Japan,2022-07-13,Japan,18,176,72,Midfielder
804,Tsukasa Morishima,1997-04-25,Japan,2019-12-04,Japan,8,175,67,Midfielder
805,Yasuto Wakizaka,1995-06-11,Japan,2021-03-22,Japan,14,173,69,Midfielder
806,Adolfo Machado,1985-02-14,Panama,2011-06-01,Panama,Unknown,183,72,Defender
807,Eric Davis,1991-03-31,Panama,2011-06-01,Panama,Unknown,179,77,Defender
808,Felipe Baloy,1981-02-24,Panama,2001-05-01,Panama,Unknown,184,87,Defender
809,Fidel Escobar,1995-01-09,Panama,2015-01-01,Panama,Unknown,181,74,Defender
810,Harold Cummings,1992-03-01,Panama,2010-05-01,Panama,Unknown,180,84,Defender
811,Luis Ovalle,1988-09-07,Panama,2012-01-20,Panama,Unknown,177,71,Defender
812,Michael Murillo,1996-02-11,Panama,2015-01-01,Panama,Unknown,183,73,Defender
813,Roman Torres,1986-03-20,Panama,2005-07-01,Panama,Unknown,188,88,Defender
814,Abdiel Arroyo,1993-12-13,Panama,2014-10-01,Panama,Unknown,181,84,Forward
815,Blas Perez,1981-03-13,Panama,2001-01-01,Panama,7,175,79,Forward
816,Gabriel Torres,1988-10-31,Panama,2002-10-01,Panama,Unknown,179,78,Forward
817,Ismael Diaz,1997-05-12,Panama,2015-01-01,Panama,10,181,77,Forward
818,Luis Tejada,1982-03-28,Panama,2002-08-01,Panama,Unknown,185,82,Forward
819,Alex Rodriguez,1990-08-05,Panama,2012-06-01,Panama,Unknown,195,65,Goalkeeper
820,Jaime Penedo,1981-09-26,Panama,2003-06-01,Panama,1,186,79,Goalkeeper
821,Jose Calderon,1985-08-14,Panama,2005-10-01,Panama,Unknown,187,84,Goalkeeper
822,Anibal Godoy,1990-02-10,Panama,2011-06-01,Panama,Unknown,180,72,Midfielder
823,Armando Cooper,1987-11-26,Panama,2011-06-01,Panama,Unknown,182,71,Midfielder
824,Gabriel Gomez,1984-05-29,Panama,2004-06-01,Panama,Unknown,183,81,Midfielder
825,Jose Luis Rodriguez,1998-06-19,Panama,2020-06-12,Panama,Unknown,180,77,Midfielder
826,Ricardo Avila,1997-02-04,Panama,2017-11-07,Panama,Unknown,184,74,Midfielder
827,Valentin Pimentel,1991-05-30,Panama,2015-06-23,Panama,14,185,77,Midfielder
828,Edgar Yoel Barcenas,1993-10-23,Panama,2016-05-01,Panama,Unknown,175,75,Midfielder
